C/A,UNIT,STATION,DIVISION,LINENAME,ENTRIES_10_12,EXITS_10_12,ENTRIES_13_16,EXITS_13_16,ENTRIES_17_20,EXITS_17_20,ENTRIES_21_22,EXITS_21_22,OPENED,CLOSED,PRIOR_REMOTES,PRIOR_STATIONS
A025,R023,34 ST-HERALD SQ,BMT,BDFMNQRW,22682145,22143942,36664220,32471879,34325153,30030173,5860244,8143790,,,,34 STREET
A027,R082,28 ST,BMT,NRW,4846752,4747544,8715086,7674097,7926272,6734518,1144258,1720993,,,,28 ST-BROADWAY
A029,R082,28 ST,BMT,NRW,4053205,6002003,6933975,9974386,5918160,8686464,812715,2045092,,,,28 ST-BROADWAY
A030,R083,23 ST,BMT,NRW,10984871,5223199,18948812,8296875,15609299,6801666,2150005,1549321,,,,23 ST-5 AVE
A031,R083,23 ST,BMT,NRW,6857769,4692143,11557818,8199945,9559983,7175599,1248396,1624206,,,,23 ST-5 AVE
A033,R170,14 ST-UNION SQ,BMT,LNQR456W,17994498,17087479,27640340,26239957,24495051,23701248,3524792,5630311,,,,
A034,R170,14 ST-UNION SQ,BMT,LNQR456W,20853230,21700471,29680375,32997266,23298301,27722155,4042357,7436036,,,,
A035,R170,14 ST-UNION SQ,BMT,LNQR456W,9173723,10025489,13397607,13827255,9758132,10240765,1544942,2553979,,,,
A037,R170,14 ST-UNION SQ,BMT,LNQR456W,16170157,6992011,24465927,9754433,18900220,6961589,2718296,2106873,,,,
A038,R085,8 ST-NYU,BMT,NRW,11085960,3252197,16686126,4679269,13337479,4216558,1881691,1456811,,,,"8 ST-BROADWAY,8 ST-B'WAY NYU"
A039,R085,8 ST-NYU,BMT,NRW,4279107,8057988,6340379,11682349,5082515,9020589,722462,2247271,,,,"8 ST-BROADWAY,8 ST-B'WAY NYU"
A041,R086,PRINCE ST,BMT,NRW,11182664,4212842,15565502,6332238,11568067,5119408,1692809,1260479,,,,PRINCE ST-B'WAY
A042,R086,PRINCE ST,BMT,NRW,3721057,11078094,5805014,14924509,4335919,10343713,617634,2787952,,,,PRINCE ST-B'WAY
A043,R462,CANAL ST,BMT,JNQRZ6W,12424742,11036191,16965017,14874365,17384758,16253588,2844304,4140266,,,,
A046,R463,CANAL ST,BMT,JNQRZ6W,20602765,18384233,28617966,24528694,22919940,18302130,4036994,5162639,,,,
A047,R087,CITY HALL,BMT,NRW,6810909,3519462,6601256,3689028,6547278,3655035,1078477,836187,,,,MURRAY ST-B'WAY
A049,R088,CORTLANDT ST,BMT,RNW,0,58,2308522,2627591,11594597,8417693,1476066,1482030,11/27/12 15:36,,,
A050,R088,CORTLANDT ST,BMT,RNW,4605563,3108963,7856222,4784566,6686108,2634064,782503,608283,,,,
A052,R088,CORTLANDT ST,BMT,RNW,,,0,0,1810659,3255375,513940,1086941,12/30/17 0:00,,,
A053,R088,CORTLANDT ST,BMT,RNW,,,,,997755,2035154,211485,664769,12/30/17 0:00,,,
A054,R227,RECTOR ST,BMT,NRW,3773800,2043470,4620814,1712558,5028071,1673947,611984,441184,,,,
A055,R227,RECTOR ST,BMT,NRW,2522108,806630,2050829,785600,2074845,681273,331406,203568,,,,
A058,R001,WHITEHALL S-FRY,BMT,R1W,2796148,3144249,3940237,4259457,5149273,5730611,698334,1173244,,,,"WHITEHALL,WHITEHALL ST"
A060,R001,WHITEHALL S-FRY,BMT,R1W,9817178,8421905,12231487,10215979,13784096,12389746,2243317,2798325,,,,"WHITEHALL,WHITEHALL ST"
A061,R142,DELANCEY/ESSEX,BMT,FJMZ,7169626,5038535,12021138,7817854,10320809,7407099,1933557,2566483,,,,ESSEX ST
A064,R311,BOWERY,BMT,JZ,2718046,2772825,4467543,4091619,4465934,3937585,734990,1506547,,,,
A066,R118,CANAL ST,BMT,JNQRZ6W,9708385,5316362,15605171,6615752,13115055,4059070,2186593,1709065,,,,
A069,R044,CHAMBERS ST,BMT,JZ456,5532885,10540901,8021884,15524289,6477662,12006408,1259637,3405201,,,,CHAMBERS STREET
A071,R044,CHAMBERS ST,BMT,JZ456,3710213,1660640,5407655,1442695,4143414,967471,699227,262283,,,,CHAMBERS STREET
A077,R028,FULTON ST,BMT,ACJZ2345,3029494,1569230,4115062,2470970,3117204,2128638,519028,645415,,,R002,FULTON STREET
A081,R028,FULTON ST,BMT,ACJZ2345,1201515,3056979,2196669,5909365,2045596,6208217,384066,2054128,,,R002,FULTON STREET
A082,R028,FULTON ST,BMT,ACJZ2345,1011829,120357,1724866,309192,1442623,180861,150408,30374,,,R002,FULTON STREET
A083,R125,BROAD ST,BMT,JZ,1483000,1394363,2470460,2447650,2861240,2611848,380001,646854,,,,
A084,R125,BROAD ST,BMT,JZ,2547301,64539,4772251,75628,4295614,213143,713514,91013,,,,
A085,R125,BROAD ST,BMT,JZ,22586,109153,0,97,0,114,0,116,,,,
B002,R057,ATLANTIC AVE,BMT,BDNQR2345,,,0,0,,,,,,,,
B004,R171,7 AV,BMT,BQ,7975835,7673685,11824114,11005528,10611578,9968478,1831008,2825699,,,,7 AVE
B009,R411,PARK PLACE,BMT,S,1905534,2095620,2458902,2745953,1879020,2148773,392539,619524,,,,PARK PL
B010,R412,BOTANIC GARDEN,BMT,S2345,1681466,2068978,2245987,2979411,1546190,2331876,344238,770968,,,,
B012,R196,PROSPECT PARK,BMT,BQS,3246933,3188720,5235294,5007936,4458983,4539195,905359,1413395,,,,
B013,R196,PROSPECT PARK,BMT,BQS,4655049,4467502,8044804,7146749,7072466,6262813,1479816,2081260,,,,
B014,R148,PARKSIDE AV,BMT,BQ,5460175,4579422,6567079,5038299,6863882,4990446,1537113,1752492,,,,PARKSIDE AVE
B015,R098,CHURCH AV,BMT,BQ,3864579,3455264,7419585,6437457,6179543,5488727,1322022,1850348,,,,CHURCH AVE
B016,R098,CHURCH AV,BMT,BQ,9181524,9843281,15033518,16113521,12019791,13325260,2678810,3913617,,,,CHURCH AVE
B017,R262,BEVERLEY ROAD,BMT,BQ,2854770,2574079,3470305,3237237,3687464,3423564,882870,1206542,,,,BEVERLEY RD
B018,R184,CORTELYOU RD,BMT,BQ,5686680,2554720,7551200,2646212,6962049,2263052,1540026,802631,,,,CORTELYOU ROAD
B019,R149,NEWKIRK PLAZA,BMT,BQ,8172662,7858164,13595100,12851967,11483262,10883238,2573289,3378196,,,,"NEWKIRK AV,NEWKIRK AVE"
B020,R263,AVENUE H,BMT,BQ,6980961,4069252,3667346,2898839,3645840,3106992,2150181,1307453,,,,AVE H
B021,R228,AVENUE J,BMT,BQ,8716500,7030770,7518700,3978903,6502109,3368206,1573804,1232629,,,,"AV J,AVE J"
B022,R229,AVENUE M,BMT,BQ,5715372,3207427,7054854,2814846,6225405,2645700,1530295,945281,,,,"AV M,AVE M"
B023,R211,KINGS HWY,BMT,BQ,4426171,3475263,6216455,3497398,5310004,2595537,1204575,834132,,,,KINGS HIGHWAY
B024,R211,KINGS HWY,BMT,BQ,4855681,4447416,8982175,8164992,8465192,7366857,2185584,2503798,6/12/10 11:18,,,KINGS HIGHWAY
B024A,R211,KINGS HWY,BMT,BQ,5769780,6306758,8440457,9872723,7121634,8400259,1636513,2502743,,,,KINGS HIGHWAY
B025,R150,AVENUE U,BMT,BQ,5239612,3079711,9061152,3410165,8196560,3144796,1925181,981263,,,,"AV U,AVE U"
B026,R230,NECK RD,BMT,BQ,3115509,3334697,5225645,1410024,4843316,1455540,1073258,425390,,,,NECK ROAD
B027,R136,SHEEPSHEAD BAY,BMT,BQ,8317190,8687946,12332789,12697751,10413392,10776440,2302600,3284426,,,,
B028,R136,SHEEPSHEAD BAY,BMT,BQ,3280267,2530749,4950298,3077277,4335487,2725093,907960,836197,,,,
B029,R172,BRIGHTON BEACH,BMT,BQ,7128612,5843525,10591550,5001240,8972217,3706477,1931346,1172283,,,,
B031,R172,BRIGHTON BEACH,BMT,BQ,3575919,4744749,5372963,6435202,4462931,5061865,1098959,1610508,,,,
B032,R264,OCEAN PKWY,BMT,Q,1875922,1452862,2613884,1436178,2448252,1218571,610606,426838,,,,OCEAN PARKWAY
B034,R264,OCEAN PKWY,BMT,Q,960830,803969,1470081,1085896,1189480,684266,279713,210504,,,,OCEAN PARKWAY
C001,R108,BOROUGH HALL,BMT,R2345,2031150,2078823,2333456,1954655,2728218,1840872,398530,393200,,9/22/22 12:00,,BOROUGH HALL/CT
C003,R089,JAY ST-METROTEC,BMT,R,2496165,1947015,2518609,2133652,2062463,2429649,358125,625898,,,,LAWRENCE ST
C004,R089,JAY ST-METROTEC,BMT,R,765177,179622,1116778,373492,1999605,580882,300391,157262,,,,LAWRENCE ST
C008,R099,DEKALB AV,BMT,BDNQR,14259013,9049078,22000786,11503410,22955307,9759065,4188760,3958674,,,,DEKALB AVE
C009,R057,ATL AV-BARCLAY,BMT,BDNQR2345,10549750,12298573,15672769,18979125,13508537,15682849,3167831,5487004,,,,"BARCLAYS CENTER,PACIFIC ST"
C010,R231,UNION ST,BMT,R,4748382,1322607,6464126,1983463,5649263,1662958,1084062,708579,,,,
C011,R231,UNION ST,BMT,R,1175638,4091186,1851632,5158005,1580012,4115569,431452,1272373,,,,
C012,R258,4AV-9 ST,BMT,DFGMNR,5899190,3731688,11954357,7925695,9957620,7102069,1952081,2397175,,,,9 ST
C014,R246,PROSPECT AV,BMT,R,4222906,1034141,5935400,1359973,4191689,1281608,971494,615794,,,,PROSPECT AVE
C015,R246,PROSPECT AV,BMT,R,926696,3842715,1325499,5048400,920388,2918898,321527,1192661,,,R454,PROSPECT AVE
C016,R278,25 ST,BMT,R,2573150,888622,3854146,1316841,3363890,1209332,727712,434865,,,,
C017,R455,25 ST,BMT,R,759154,2386837,1107192,3099898,918819,2411915,228545,853962,,,,
C018,R197,36 ST,BMT,DNR,10100585,8414559,16438954,11386416,15399411,9535125,3813342,3784875,,,,
C019,R232,45 ST,BMT,R,6214661,5077799,9162092,6263027,8271515,5118786,2068271,1846129,,,,
C020,R233,53 ST,BMT,R,6462594,3824913,9572777,4523178,7933612,7694314,2462411,3539585,,,,
C021,R212,59 ST,BMT,NRW,6683876,5752701,10677952,6945282,8574360,5068909,2204797,3002258,,,,
C022,R212,59 ST,BMT,NRW,3821826,2212387,6092588,2647760,6258910,2284467,1285807,1005221,,,,
C023,R213,BAY RIDGE AV,BMT,R,6877245,3735186,10452178,4678781,7036235,4035789,1933642,1877909,,,,BAY RIDGE AVE
C024,R214,77 ST,BMT,R,4333564,2544647,6926590,2904901,6177499,2295976,1274127,711923,,,,
C025,R215,86 ST,BMT,R,8171131,5676694,12999748,8403306,10367241,7334424,2588333,3195278,,,,
C026,R215,86 ST,BMT,R,1340304,779934,2234604,728476,1878377,411833,361819,204238,,,,
C027,R216,BAY RIDGE-95 ST,BMT,R,2975150,2997986,4499746,4470212,3753078,3689969,843757,1120791,,,,"BAY RIDGE AV,BAY RIDGE-95 ST"
C028,R216,BAY RIDGE-95 ST,BMT,R,1913281,345025,3070678,389721,2427500,205395,480251,63843,,,,"BAY RIDGE AV,BAY RIDGE-95 ST"
D001,R390,8 AV,BMT,N,,,,,881307,915218,759335,1079632,2/6/19 20:00,,,
D002,R390,8 AV,BMT,N,9536773,10248193,15967683,15861199,18116161,16606106,2342178,3007443,,,,8 AVE
D003,R391,FT HAMILTON PKY,BMT,N,3258662,2951066,4840090,4977177,2151800,1863993,986556,1189400,,,,
D004,R391,FT HAMILTON PKY,BMT,N,2411841,131937,2444714,199124,1984657,425003,704888,122143,,,,
D005,R398,NEW UTRECHT AV,BMT,ND,5658298,4336760,6221748,5928165,11230206,6632418,1202386,1404873,,,,NEW UTRECHT AVE
D006,R398,NEW UTRECHT AV,BMT,ND,979483,923417,866715,728164,1096010,298701,310955,112241,,,,NEW UTRECHT AVE
D008,R392,18 AV,BMT,N,4858090,4404144,6000154,6124776,3889620,3226204,1495142,1808256,,,,18 AVE
D009,R393,20 AV,BMT,N,3348926,2896024,4363095,2665811,3395291,1562768,1093064,1324774,,,,20 AVE
D010,R394,BAY PKWY,BMT,N,3776288,3841244,8254054,7213184,16693079,21271538,1145739,1401161,,,,"BAY PKY-22 AV,BAY PKY-22 AVE"
D011,R394,BAY PKWY,BMT,N,2123354,1467434,2171394,1161230,3832643,1389589,827225,470928,,,,"BAY PKY-22 AV,BAY PKY-22 AVE"
D012,R395,KINGS HWY,BMT,N,4416336,3266048,5644185,4810231,4099082,3323430,1532769,1955680,,,,KINGS HIGHWAY
D015,R396,AVENUE U,BMT,N,3471736,3139197,4266648,3986067,3157026,2031486,1129518,1139597,,,,"AV U,AVE U"
D016,R397,86 ST,BMT,N,2193236,1076602,2981658,1164895,2237115,1799324,771779,975186,,,,
E001,R368,9 AV,BMT,D,4687238,4803844,7601473,7604642,6030673,6222101,1557223,2042599,,,,9 AVE
E003,R369,FT HAMILTON PKY,BMT,D,10184874,6967885,5245773,3395402,4367852,2712782,1187115,1020431,,,,
E004,R234,50 ST,BMT,D,2519996,2539222,4050892,3870392,3510207,3208224,985214,1143081,,,,
E005,R247,55 ST,BMT,D,1566951,1351768,2510192,1522173,2311720,1088845,601504,352507,,,,
E009,R370,71 ST,BMT,D,3336943,1835145,6563380,3103528,6211712,2188411,1337936,627924,,,,
E011,R371,79 ST,BMT,D,4562213,2063751,8228149,3029947,6809209,2179305,1644122,669936,,,,
E012,R372,18 AV,BMT,D,4618381,2736084,7972672,2665107,6799384,1819063,1612774,526512,,,,18 AVE
E013,R373,20 AV,BMT,D,3792383,2151948,6444119,2588227,5522967,1652226,1306809,469030,,,,20 AVE
E014,R374,BAY PKWY,BMT,D,5651153,5581484,9757446,9218743,8676982,7862744,2065934,2580311,,,,"BAY PKY,BAY PARKWAY"
E015,R399,25 AV,BMT,D,3480102,1499711,6539334,1916377,5702045,1443278,1178402,365801,,,,25 AVE
E016,R400,BAY 50 ST,BMT,D,2424761,1330381,3638580,1150570,2990038,651423,759317,349959,,,,
G001,R151,CONEY IS-STILLW,BMT,DFNQ,7002784,6619616,10799573,8284086,8426682,6008797,2142628,2082778,,,,"STILLWELL AV,STILLWELL AVE"
G009,R151,CONEY IS-STILLW,BMT,DFNQ,6663812,6788877,9775425,9912006,8095082,8347013,2005855,2647150,,,,"STILLWELL AV,STILLWELL AVE"
G011,R312,W 8 ST-AQUARIUM,BMT,FQ,1648168,1736695,2558032,2305612,1855798,2117051,489947,838835,,,,
G015,R312,W 8 ST-AQUARIUM,BMT,FQ,633373,100599,1027246,134650,954416,115565,213066,38022,,,,
H001,R175,8 AV,BMT,ACEL,20247403,15442789,33551518,22884715,25742014,16014274,4686655,5355970,,,,8 AVE
H003,R163,6 AV,BMT,FLM123,5163034,2126601,8044182,3402452,6178275,2830649,1031585,1036526,,,,6 AVE
H005,R330,3 AV,BMT,L,2152508,2978590,3605191,5054083,2421435,3994693,420222,1372958,,,,3 AVE
H006,R330,3 AV,BMT,L,3631263,2907479,6131063,4601018,4646321,3146745,888279,964159,,,,3 AVE
H007,R248,1 AV,BMT,L,10916215,7536207,17684018,11673265,11456542,8520186,1084138,2860361,,,,1 AVE
H007A,R248,1 AV,BMT,L,,,,,1343622,2070419,2159352,3998213,10/26/19 8:00,,,
H008,R248,1 AV,BMT,L,8398399,13575206,13681215,21115574,8812261,13464495,1355215,2333568,,,,1 AVE
H009,R235,BEDFORD AV,BMT,L,21455893,17811782,38595227,35534244,29542867,28498548,3949183,6755313,,,,BEDFORD AVE
H010,R235,BEDFORD AV,BMT,L,,,,,188646,381079,1327936,4939860,8/29/20 0:00,,,
H012,R268,LORIMER ST,BMT,LG,5018099,2953787,8113449,2490938,6091218,1603638,845468,1553839,,,,
H013,R249,GRAHAM AV,BMT,L,7300366,974307,11366076,1466049,8667693,1202534,1458978,514876,,,,GRAHAM AVE
H014,R249,GRAHAM AV,BMT,L,1001109,4968888,1887322,7377261,1577606,5936531,360352,2051580,,,,GRAHAM AVE
H015,R250,GRAND ST,BMT,L,4274769,1629599,6820682,2451825,5599012,1816418,1185696,679127,,,,
H016,R250,GRAND ST,BMT,L,1580676,4216293,2419166,6650939,1622868,5279098,396056,1815850,,,,
H017,R265,MONTROSE AV,BMT,L,5475516,4511773,9229264,5949792,7404130,4506343,1475350,1834381,,,,MONTROSE AVE
H019,R294,MORGAN AV,BMT,L,5841278,2819977,10000284,3958467,8112970,4311481,1428019,1882180,,,,MORGAN AVE
H022,R279,JEFFERSON ST,BMT,L,4974689,2620912,9692881,2661876,8318225,2072634,1637342,858130,,,,
H023,R236,DEKALB AV,BMT,L,9307370,4757928,15710804,5412429,13169413,3630966,2774947,1427162,,,,DEKALB AVE
H026,R137,MYRTLE-WYCKOFF,BMT,LM,8350639,6519644,13858570,8808584,13924476,7446978,3070520,3024945,,,,"MYRTLE AV,MYRTLE AVE"
H027,R137,MYRTLE-WYCKOFF,BMT,LM,6643279,5332821,11768845,8419797,9319281,7056961,1914035,2216774,,,,"MYRTLE AV,MYRTLE AVE"
H028,R266,HALSEY ST,BMT,L,4852919,1327349,8728411,2046019,7631583,1858923,1488674,638355,,,,
H030,R266,HALSEY ST,BMT,L,847464,2306880,1300456,4068318,1096064,3723784,233710,1347711,,,,
H032,R295,WILSON AV,BMT,L,3038470,2844745,5333452,4883115,4876877,4537203,1045776,1603499,,,,WILSON AVE
H033,R313,BUSHWICK AV,BMT,L,1133688,1083727,2360092,1830530,2301487,1712835,585625,633580,,,,BUSHWICK AVE
H035,R348,ATLANTIC AV,BMT,L,1225784,472856,1956179,722960,1933206,840171,447082,304209,,,,ATLANTIC AVE
H037,R349,SUTTER AV,BMT,L,3645980,3354432,5920926,4459520,4284523,3577342,784420,1284888,,,,SUTTER AVE
H038,R350,LIVONIA AV,BMT,L,2344228,2146670,4047394,3273358,3411458,2768475,675335,909523,,,,LIVONIA AVE
H039,R375,NEW LOTS,BMT,L,3629520,3661177,6445144,6091755,5158904,5300079,1042524,1631722,,,,"NEW LOTS AV,NEW LOTS AVE"
H040,R376,EAST 105 ST,BMT,L,3027667,2850321,4841777,4427959,3957870,3999225,748120,1220001,,,,
H041,R152,CANARSIE-ROCKAW,BMT,L,10794591,4231931,16545620,4178832,12466566,9391994,2029598,1123496,,,,ROCKAWAY PKY
J001,R460,MARCY AV,BMT,JMZ,6919861,1537243,11277592,3736075,12588786,4235543,1543463,1637116,,,,MARCY AVE
J002,R460,MARCY AV,BMT,JMZ,2655070,4084846,4922024,7701635,5125711,7486237,1034121,2329025,,,,MARCY AVE
J003,R352,HEWES ST,BMT,JM,2332466,1231172,3754141,1897666,3421711,2288129,661208,960581,,,,
J005,R353,LORIMER ST,BMT,JM,3996473,2522895,6295378,3305236,5671492,3712720,1078750,1408920,,,,
J007,R377,FLUSHING AV,BMT,JM,7379769,2975509,11704317,4093840,10089935,6414707,1999463,2016408,,,,FLUSHING AVE
J009,R378,MYRTLE AV,BMT,JMZ,8693143,7115597,14680536,9941909,13656312,8259669,2289933,2816850,,,,MYRTLE AVE
J012,R379,KOSCIUSZKO ST,BMT,J,3991010,2610699,6360071,3084456,6508970,2427591,1154299,887498,,,,KOSCIUSKO ST
J013,R380,GATES AV,BMT,JZ,5091914,2317633,8219620,3413256,7862544,3242443,1497812,1086612,,,,GATES AVE
J016,R381,HALSEY ST,BMT,J,4893086,2198430,8077016,3489426,7284325,3416453,1285921,1068660,,,,
J017,R432,CHAUNCEY ST,BMT,JZ,2628969,1213023,4099250,1841380,3800951,1798885,735592,545492,,,,
J020,R433,ALABAMA AV,BMT,J,2128463,2231314,3336334,3164646,2511017,2656985,609732,841432,,,,ALABAMA AVE
J021,R434,VAN SICLEN AV,BMT,JZ,2394169,2416201,3852016,3831959,2999950,3246173,728351,1123146,,,,VAN SICLEN AVE
J022,R435,CLEVELAND ST,BMT,J,2742028,2807760,4431405,4367264,3303629,3565603,697496,1245768,,,,
J023,R436,NORWOOD AV,BMT,JZ,2934617,2903547,4594479,4600951,3505017,3735412,740556,1252287,,,,NORWOOD AVE
J024,R437,CRESCENT ST,BMT,JZ,4096971,4392123,6404737,6694887,5209263,5992678,1164082,2104611,,,,
J025,R003,CYPRESS HILLS,BMT,J,1153395,868176,1824958,1176813,1528303,976937,391857,356989,,,,CYPRESS  HILLS
J028,R004,75 ST-ELDERTS,BMT,JZ,3036028,2493624,4749630,3622652,3692721,2674873,978823,900914,,,,ELDERTS LANE
J030,R005,85 ST-FOREST PK,BMT,J,3080459,2403040,4933301,2845337,3923497,2106521,994975,681818,,,,FOREST PARKWAY
J031,R006,WOODHAVEN BLVD,BMT,JZ,2812294,2295857,4443364,2641052,3625878,2430518,921847,889920,,,,
J032,R006,WOODHAVEN BLVD,BMT,JZ,822340,371818,1615239,531377,1384842,317341,402446,109726,,,,
J034,R007,104 ST,BMT,JZ,2094027,1757621,3346003,2274635,2149191,952093,704058,561015,,,,104 STREET
J035,R008,111 ST,BMT,J,2147156,1881264,3251878,2117134,2465273,1468831,610615,503614,,,,
J037,R009,121 ST,BMT,JZ,1872942,1528006,3102775,1983760,1819293,1219297,633343,548880,,,,
JFK01,R535,HOWARD BCH JFK,IND,A,916776,725834,437421,2140143,701709,1716576,296703,438835,,,,JFK HOWARD BCH
JFK02,R535,HOWARD BCH JFK,IND,A,1899381,743765,2788266,1567319,1370208,2813194,539832,485004,,,,JFK HOWARD BCH
JFK03,R536,JFK JAMAICA CT1,IND,E,5640435,5665223,10181149,10539790,11893865,9089379,3218136,3381901,,,,"JFK JAMAICA CT1,SUTPHIN-ARCHER"
K017,R401,CENTRAL AV,BMT,M,2424102,2064544,6432401,7743231,3366564,3224059,794999,1246347,,,,CENTRAL AVE
K019,R413,KNICKERBOCKER,BMT,M,2555028,1953506,4739574,4730345,3614889,3777009,950047,1516852,,,,
K022,R402,SENECA AVE,BMT,M,1968313,1866910,3183646,3202057,2617014,2639708,658381,1004694,,,,SENECA AV
K024,R403,FOREST AVE,BMT,M,3073256,2677270,5092380,3829561,3719483,2980251,1044977,1156838,,,,FOREST AV
K025,R404,FRESH POND RD,BMT,M,4307025,2009402,7771658,7274096,5375687,5792748,1430655,2149113,,,,FRESH POND ROAD
K026,R100,METROPOLITAN AV,BMT,M,3256842,3126317,5327105,4900855,3563522,3536665,1028165,1318017,,,,
LGA01,R538,LGA AIRPORT CTB,IRT,7,,,11040,2406,,,,,12/10/13 7:00,12/11/13 11:00,,
LGA02,R538,LGA AIRPORT CTB,IRT,7,,,2962,6508,,,,,12/10/13 7:00,12/11/13 11:00,,
N001,R173,INWOOD-207 ST,IND,A,3245045,1802026,4961120,2323520,4243881,1659156,815679,449837,,,,207 ST/WASH HTS
N002A,R173,INWOOD-207 ST,IND,A,4955107,3138501,7299886,4108740,6332749,3492858,1440540,1219124,,,,207 ST/WASH HTS
N003,R185,DYCKMAN ST,IND,A,6107597,158097,8724717,223363,7450429,232244,1575354,113283,,,,DYCKMAN-200 ST
N006A,R280,190 ST,IND,A,3850257,1942700,5941474,2689621,5054182,1981716,821551,319971,,,,
N007A,R174,181 ST,IND,A,4791349,3799426,7573722,5788778,5987144,4879512,1515489,2119124,,,,
N009,R174,181 ST,IND,A,3957143,3822414,6366001,5472370,5684350,5086803,1153474,1541453,,,,
N010,R126,175 ST,IND,A,8669199,5264850,13104668,7745747,10835855,6793973,2214454,2259264,,,,
N011,R126,175 ST,IND,A,2166830,1387712,3582385,1522347,3115466,1021455,579530,303264,,,,
N012,R035,168 ST,IND,AC1,5428835,931431,9280204,2162652,7516545,1260809,1469733,456060,,,,168 ST-BROADWAY
N013,R035,168 ST,IND,AC1,4650543,3477921,7178901,5172707,7164346,3895975,1361738,1580442,,,,168 ST-BROADWAY
N016A,R296,163 ST-AMSTERDM,IND,C,3355994,2059255,5630693,2276046,4043309,2681799,1012742,1392185,,,,
N017,R331,155 ST,IND,C,2153867,1938597,3444506,2952689,3201864,2654048,643116,789893,,,,
N019,R101,145 ST,IND,ABCD,5245974,5207318,9005957,8597881,7716559,7661337,1533837,2390164,,,,
N020,R101,145 ST,IND,ABCD,13692913,13558651,22366147,21698306,18329251,18349115,3698890,5499255,,,,
N022,R332,135 ST,IND,BC,1216564,132188,2080530,165193,1882633,90300,362502,34036,,,,135TH STREET
N023,R332,135 ST,IND,BC,1167032,2252659,1884147,3451532,1514605,2977314,328220,881108,,,,135TH STREET
N024,R332,135 ST,IND,BC,1973903,1059494,2998112,1635238,2512249,1482307,465083,452327,,,,135TH STREET
N025,R102,125 ST,IND,ACBD,4539516,3396385,8698837,5899440,7710052,5220183,1550971,1788486,,,,
N026,R102,125 ST,IND,ACBD,18036857,16585282,29169665,25805709,24173629,22634966,4923205,7247348,,,,
N029,R333,116 ST,IND,BC,1850588,3110369,3082018,4083345,2530485,3043999,564035,984574,,,,
N030,R333,116 ST,IND,BC,3558714,2373289,5898552,3267987,5270731,2713171,994806,940724,,,,
N034,R334,CATHEDRAL PKWY,IND,BC,2431679,1013723,4047027,1534131,3148868,1248095,708210,492939,,,,"110 ST-CATHEDRL,CATHEDRL-110 ST"
N035,R334,CATHEDRAL PKWY,IND,BC,3547983,3749047,5398125,4445940,3799117,2592773,927027,874509,,,,"110 ST-CATHEDRL,CATHEDRL-110 ST"
N037,R314,103 ST,IND,BC,4075614,3779729,6136749,4866056,5232266,3655865,1029472,1216695,,,,
N039,R251,96 ST,IND,BC,4190026,2413484,7235717,4090194,5674793,3535702,1181865,1047072,,,,
N040,R251,96 ST,IND,BC,3443589,4272596,5074371,5677536,4364006,4604587,892695,1570394,,,,
N043,R186,86 ST,IND,BC,8860444,5195385,13936184,6738923,9381458,8641875,2176142,3047351,,,,
N044,R187,81 ST-MUSEUM,IND,BC,7888044,6504146,12408107,10335129,10206604,8674263,1999473,2557340,,,,
N045,R187,81 ST-MUSEUM,IND,BC,3324574,2940743,5628969,4569570,4664056,3893000,840763,1131895,,,,
